stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
3dpf,0,0,0,0.57,0.57,0
5dpf,0,0,0,0,0,0.52
10dpf,0.63,0.63,4.39,0,1.26,3.14
