stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,0.83,0.83,5,6.67,0.83,0,0
3dpf,0,0,1.15,35.05,0,0.57,0
5dpf,1.03,0,0,22.22,1.55,12.4,0.52
10dpf,0,1.26,2.51,21.34,0.63,0,1.26
