stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,2.5,0.83,1.67,0.83,0,0.83
3dpf,16.09,0,1.15,0,0,0
5dpf,0.52,0.52,2.58,0.52,0.52,0.52
10dpf,5.65,0,3.77,0,0,0
