stage,central_nervous_system,endoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
3dpf,4.02,7.47,0.57,0,0,0
5dpf,0.52,11.37,2.07,0.52,0.52,1.55
10dpf,5.02,33.89,2.51,0,0,0
