stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,periderm
24hpf,0,0,1,0,0,0
2dpf,0,0,0.83,0.83,0,8.34
3dpf,0,1.15,0.57,0,0,2.87
5dpf,0.52,0,14.99,1.03,0.52,19.12
10dpf,0,0,20.71,0,0,1.26
