stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,20.65
12hpf,0,13.49,0,0,1.93,0,0,3.86,55.9
14hpf,0,0,0,0,0,0,0,3.34,33.44
16hpf,0,0,0,0,2.05,0,0,0,123.05
19hpf,0,0,0,0,0,0,0,0,30.65
24hpf,2,0,0,0,1,0,0,1,41
2dpf,7.51,0,1.67,1.67,5.84,7.51,0,1.67,48.38
3dpf,11.49,0.57,0.57,0,0,2.3,0,0.57,29.88
5dpf,2.07,0,0,0.52,0.52,8.79,0.52,2.07,86.83
10dpf,3.14,0,0.63,0.63,0.63,1.88,0,0,22.59
