stage,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0.83,0,0.83,0,5.84
3dpf,0.57,0,2.87,4.6,0,0
5dpf,0.52,0,0,7.24,0.52,7.75
10dpf,0,0.63,0,3.14,0.63,0
