stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,neural_crest,periderm
2dpf,2.5,0,0,0,20.85,0
3dpf,1.15,0,0,0.57,0,0.57
5dpf,0,0,1.55,7.24,0,1.03
10dpf,2.51,0.63,5.02,0.63,2.51,0.63
