stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
24hpf,0,0,3,0,0,0,0,1
2dpf,0,0,15.85,0,0.83,0,0,34.2
3dpf,1.15,1.72,13.79,2.3,2.3,0.57,0,14.94
5dpf,1.55,1.55,67.19,0.52,3.1,0,0.52,81.66
10dpf,3.14,1.26,103.54,2.51,1.88,0.63,0,3.77
