stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0,0.83,0,0,0,0
3dpf,48.27,0,0,0,0,0,0
5dpf,2.58,0,0,1.03,0.52,1.55,0.52
10dpf,47.69,0.63,0,1.26,0,0,0
