stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,4.17,0,0,1.67,5.84,0,0.83,20.85
3dpf,2.87,0.57,0,0,0,0,0,13.79
5dpf,2.58,2.07,0.52,0,1.03,0.52,1.55,22.74
10dpf,0.63,1.26,0,0,0.63,0,0,3.14
