stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0.83,0.83,0,0,0
3dpf,0,1.15,0,0,2.3,0,0
5dpf,0.52,4.65,3.62,0,1.55,1.03,0.52
10dpf,1.88,80.95,1.88,0,0,0,0
