stage,central_nervous_system,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
24hpf,4,0,1,0,0
2dpf,19.18,0.83,5,0,0.83
3dpf,63.21,0,1.15,0,0.57
5dpf,5.17,0,0,1.03,0
10dpf,9.41,0,1.26,0,0
