stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,55.9,0,0,0,0,0,1.93,3.86,0
14hpf,36.78,0,0,0,0,0,0,3.34,0
16hpf,53.32,0,14.36,0,0,0,0,6.15,0
19hpf,50.35,0,21.89,0,0,0,0,0,0
24hpf,35,0,1,1,0,1,0,4,0
2dpf,158.47,0,12.51,11.68,8.34,1.67,0,4.17,11.68
3dpf,59.19,0.57,3.45,1.15,2.87,0,0,0.57,5.17
5dpf,49.62,2.58,8.79,1.55,7.24,0,1.55,0.52,12.92
10dpf,33.89,0,3.77,0,0,0,0,0,1.88
