stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,61.94
12hpf,0,0,0,0,0,0,0,0,3.86
14hpf,0,0,0,0,0,0,0,0,46.81
16hpf,0,0,0,0,0,0,0,0,2.05
19hpf,0,0,0,10.95,0,0,0,0,118.22
24hpf,2,1,0,2,0,0,0,0,50
2dpf,14.18,0.83,1.67,5.84,2.5,10.84,0,3.34,384.51
3dpf,29.31,14.37,1.15,1.72,0.57,8.05,0,0.57,128.72
5dpf,6.72,10.85,3.62,10.85,1.03,11.37,1.03,2.58,509.08
10dpf,20.71,7.53,3.14,3.77,0,6.9,1.26,1.26,101.03
