stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,3,0,0,0,0,0,0
2dpf,12.51,0,0,1.67,4.17,0,4.17
3dpf,136.77,0.57,0,0.57,5.17,0,0.57
5dpf,5.69,1.03,1.03,0,2.58,0.52,2.07
10dpf,32.63,0,1.26,0,1.88,0,0.63
