stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,1.67
3dpf,1.72,0.57,0,0
5dpf,1.03,0,1.03,4.65
10dpf,1.26,0,0.63,1.26
