stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,0,0,1,0
3dpf,0,0,0,0.57,0,1.72
5dpf,1.03,0,0.52,3.62,0,12.92
10dpf,0,0.63,0,0,0,5.02
