stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
3dpf,3.45,0,0,0,0
5dpf,0.52,0,0.52,1.03,0
10dpf,28.87,0.63,0,0.63,0.63
