stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,485.18,10.32,10.32,0,154.84,20.65,0,123.88,774.22,196.14
12hpf,229.4,30.84,1.93,3.86,100.24,23.13,0,131.09,229.4,113.74
14hpf,187.26,30.09,36.78,30.09,157.16,30.09,3.34,56.85,304.29,214.01
16hpf,125.1,18.46,4.1,0,77.93,26.66,0,41.02,127.15,129.2
19hpf,253.95,2.19,0,2.19,56.92,21.89,2.19,35.03,61.3,89.76
24hpf,86,15,0,1,49,10,0,6,34,12
2dpf,159.31,7.51,7.51,24.19,145.13,186.83,10.84,50.04,61.72,63.39
3dpf,330.42,11.49,4.6,8.05,48.84,303.99,5.75,0.57,16.09,24.14
5dpf,123.52,20.16,23.26,34.11,41.35,426.38,9.3,164.87,68.74,179.86
10dpf,184.49,10.67,8.79,10.04,23.85,224.66,5.02,3.77,27.61,15.06
