stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,0.57,0,0,0,0
5dpf,3.1,1.03,1.03,0,0.52
10dpf,3.77,0,1.88,0.63,0
