stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,2,0,0,0,0
2dpf,8.34,0,0.83,0,0.83
3dpf,2.87,0,0,0,0
5dpf,46,0.52,0.52,0.52,3.1
10dpf,10.04,0,0.63,0,0
