stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,48.19,0,0,0,0,0,1.93,0,25.06
14hpf,33.44,6.69,0,0,0,0,13.38,3.34,103.66
16hpf,26.66,14.36,12.3,0,22.56,10.25,63.58,2.05,45.12
19hpf,59.11,0,2.19,0,4.38,2.19,96.32,0,52.54
24hpf,14,0,0,0,8,7,100,3,6
2dpf,30.03,2.5,6.67,20.02,50.88,105.09,59.22,85.91,12.51
3dpf,82.17,5.75,2.87,29.31,9.77,182.74,6.9,21.84,5.17
5dpf,21.71,5.17,13.95,54.27,5.69,86.83,8.27,25.32,14.99
10dpf,35.14,5.65,6.9,74.68,1.26,34.51,5.65,12.55,1.26
