stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0,0,0,0,0,0,1.67
3dpf,2.87,0,0.57,0,0,0,0.57
5dpf,2.07,1.03,0,0.52,0.52,1.03,1.03
10dpf,3.77,0,0,0.63,0,0,0
