stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,1.67,0,0,0,0,0,2.5
3dpf,2.3,0,0.57,1.15,0.57,0.57,4.02
5dpf,1.55,0.52,0.52,2.07,1.03,0,27.91
10dpf,0,1.26,1.26,3.14,1.26,0,5.65
