stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
14hpf,0,0,0,0,3.34
24hpf,0,0,0,0,1
2dpf,0.83,0,0.83,3.34,11.68
3dpf,0.57,0,0.57,5.75,0.57
5dpf,0,1.03,0.52,1.03,2.58
10dpf,3.14,6.28,0,1.88,0
