stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm
24hpf,0,0,0,0,0,0,1
2dpf,2.5,0,0,1.67,1.67,0,0
3dpf,15.52,1.15,0,1.15,4.02,0,0
5dpf,0.52,0.52,0,0.52,2.58,1.03,1.03
10dpf,3.14,0,1.88,0,3.77,0,0.63
