stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,notochord,periderm
14hpf,0,3.34,0,0,0,0
2dpf,3.34,0.83,0.83,2.5,0,10.01
3dpf,5.75,0,0,1.15,0,7.47
5dpf,0,0,0.52,1.03,0.52,11.89
10dpf,0.63,0,0,1.88,0,5.65
