stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,20.65,0,0,0,0,0,0,0,0
12hpf,7.71,0,0,0,0,0,0,0,1.93
14hpf,30.09,0,0,10.03,0,0,0,0,0
16hpf,24.61,0,0,24.61,0,0,0,0,0
19hpf,13.14,0,0,17.51,2.19,0,0,0,0
24hpf,25,0,0,0,2,0,0,0,0
2dpf,90.91,0,0.83,7.51,6.67,20.02,0.83,4.17,7.51
3dpf,54.02,0.57,0,5.17,1.72,29.31,0,0,1.15
5dpf,35.14,2.07,0.52,5.69,0,17.57,0,0.52,2.58
10dpf,22.59,1.88,0.63,4.39,0,11.3,0.63,0,1.26
