stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,4.17,0,0,0,0.83
3dpf,230.43,0.57,0,0.57,1.15
5dpf,1.55,0,0.52,0,1.03
10dpf,28.87,0,0,0,0
