stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,20.65,0,0,0,10.32
12hpf,5.78,5.78,0,0,23.13,0,0,1.93,63.62
14hpf,10.03,10.03,3.34,6.69,16.72,6.69,3.34,0,117.04
16hpf,2.05,30.76,2.05,4.1,43.07,2.05,2.05,12.3,147.66
19hpf,0,0,0,0,4.38,0,0,0,4.38
24hpf,1,4,0,0,11,0,0,0,11
2dpf,0.83,0,0,0.83,0,0,0,0,0
3dpf,18.39,2.3,0,0,2.87,2.87,0,0,0
5dpf,0.52,0,0,0,0,1.03,0,0,0
10dpf,8.16,0,0,0,0,0.63,0,0,0
