stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
2dpf,2.5,0,0.83,0,0.83
3dpf,59.76,0,0,1.72,0
5dpf,0,0.52,0,1.55,0
10dpf,25.1,0.63,0,0.63,0
