stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,3.34,0,0,0,0,0
3dpf,17.81,0.57,0,1.15,0.57,0
5dpf,0.52,0,0.52,1.55,0,0.52
10dpf,2.51,0,0,1.26,0,0
