stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,10.32,0
12hpf,9.64,0,1.93,0,0,1.93,0,1.93,5.78,0
14hpf,3.34,0,0,0,0,0,0,0,3.34,0
16hpf,14.36,2.05,0,0,6.15,0,0,0,8.2,2.05
19hpf,24.08,0,0,4.38,2.19,0,0,0,2.19,0
24hpf,38,0,0,1,5,3,1,0,1,1
2dpf,107.6,1.67,4.17,13.35,100.92,50.04,5.84,0,20.85,32.53
3dpf,117.23,3.45,1.72,2.3,4.6,31.03,1.72,0,3.45,2.3
5dpf,35.14,2.58,14.47,8.27,16.02,93.03,4.65,1.55,13.95,40.31
10dpf,42.67,0,1.88,0.63,1.26,17.57,0.63,0,2.51,2.51
