stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
16hpf,0,2.05,0,0,0,0
24hpf,0,0,0,2,0,0
2dpf,0.83,0.83,0,4.17,0.83,16.68
3dpf,1.15,0,0,1.15,18.96,1.72
5dpf,0,0,0.52,1.03,6.72,1.03
10dpf,0,0,0,0,5.65,0.63
