stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,periderm
2dpf,0.83,0,0,0,15.85
3dpf,0,0.57,0,0,6.9
5dpf,1.03,0,0.52,1.55,53.75
10dpf,0,0,1.88,0.63,11.92
