stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
14hpf,0,0,0,3.34,0,0,0,0,0,0
19hpf,2.19,0,0,0,0,0,0,0,0,2.19
24hpf,4,0,0,1,1,0,0,0,0,1
2dpf,30.86,5,2.5,16.68,2.5,9.17,3.34,0,6.67,34.2
3dpf,457.42,12.07,0,10.34,1.15,20.11,0.57,0,0.57,28.16
5dpf,41.35,14.47,5.69,37.73,4.13,38.25,3.62,2.07,8.27,103.37
10dpf,399.11,10.67,3.14,16.32,1.26,23.22,5.65,0,3.14,25.1
