stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,1610.38,20.65,10.32,0,505.82,51.61,0,185.81,526.47,505.82
12hpf,2197.64,104.1,5.78,102.17,769.17,125.3,9.64,339.28,1108.46,692.06
14hpf,718.93,23.41,13.38,120.38,401.26,310.98,3.34,56.85,491.55,361.14
16hpf,738.29,20.51,53.32,61.52,506.55,262.5,77.93,73.83,643.96,299.42
19hpf,768.4,6.57,48.16,32.84,273.65,133.54,140.11,19.7,94.13,85.38
24hpf,728,13,131,61,187,107,180,11,228,144
2dpf,710.63,10.84,45.87,92.58,269.41,497.11,135.12,12.51,150.13,133.45
3dpf,2133.08,34.48,35.63,47.12,25.86,494.77,35.05,0,33.9,83.9
5dpf,125.59,26.88,167.45,125.07,30.49,406.74,69.77,11.89,47.03,255.31
10dpf,582.98,19.45,104.17,77.19,14.43,96.64,59.62,0,13.18,22.59
