stage,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,0,0,0,1.67,0,0.83
5dpf,2.58,0.52,1.03,0,1.03,0.52
10dpf,0,0,1.26,0,0,0
