stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,12.51,0.83,3.34,8.34,0.83,5.84,5
3dpf,4.02,0,0,4.6,0,0,0
5dpf,0.52,0,0,1.03,0,0.52,0.52
