stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,3.34,0,1.67,2.5,1.67,0.83,1.67
3dpf,31.61,0,0.57,1.72,12.64,0.57,0.57
5dpf,2.07,1.55,0.52,0,3.1,0,0.52
10dpf,10.04,0.63,0,0,1.88,0.63,0
