stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,103.23
12hpf,0,0,0,0,0,0,0,0,0,3.86
14hpf,0,0,0,0,0,0,0,0,0,90.28
16hpf,0,0,0,0,0,0,0,0,0,14.36
19hpf,2.19,0,0,0,0,0,0,0,0,111.65
24hpf,1,0,0,0,0,0,0,0,0,21
2dpf,22.52,0.83,1.67,2.5,5.84,10.84,1.67,0,2.5,172.65
3dpf,6.9,5.17,4.02,0,0,1.15,0,0,0,97.69
5dpf,5.69,1.55,20.16,4.13,0,4.65,0.52,0.52,0.52,218.1
10dpf,6.28,1.88,26.98,0,0,1.26,0.63,0,0,100.41
