stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,20.65,0,0,10.32,0,0,0,10.32
12hpf,0,0,0,0,0,0,0,1.93,0
14hpf,0,0,0,0,0,0,0,6.69,0
16hpf,2.05,0,0,0,0,4.1,0,2.05,0
19hpf,4.38,0,0,0,6.57,6.57,0,0,0
24hpf,1,0,0,7,0,2,13,0,0
2dpf,20.02,0,0.83,19.18,10.84,15.01,40.04,7.51,0.83
3dpf,494.19,2.87,1.72,9.77,6.32,52.29,1.15,4.02,2.87
5dpf,18.09,0,1.03,13.44,5.17,18.61,22.22,6.72,10.34
10dpf,189.51,1.88,4.39,10.04,0.63,17.57,39.53,3.77,7.53
