stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,0.83,0,0,0,0,0,0
3dpf,2.87,0,1.15,0.57,0.57,0,0
5dpf,0,0.52,18.61,2.07,0,0.52,3.1
10dpf,3.14,0,10.04,0.63,0.63,0,5.02
