stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
24hpf,0,0,1,0,0,0
2dpf,2.5,0.83,4.17,0.83,0.83,0
3dpf,0.57,0,0.57,0,0,0
5dpf,0,0.52,14.47,0,0,1.03
10dpf,1.26,0,16.32,0,0,0
