stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,51.61
12hpf,0,0,0,0,0,0,0,0,52.05
14hpf,0,0,0,0,0,0,0,0,40.13
16hpf,0,2.05,0,0,0,0,0,0,22.56
19hpf,2.19,0,0,0,0,0,0,0,0
24hpf,4,1,17,0,0,1,0,1,33
2dpf,25.02,5.84,20.85,0.83,3.34,7.51,1.67,2.5,29.19
3dpf,85.05,7.47,0,1.15,0.57,9.19,0,0,26.43
5dpf,23.26,15.5,56.85,7.24,1.55,32.56,3.1,3.1,84.76
10dpf,35.14,13.81,32,1.88,1.26,16.32,0,1.26,21.34
