stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,notochord,paraxial_mesoderm
2dpf,0,0,1.67,0,0,1.67
3dpf,4.6,0,2.3,0,0,0.57
5dpf,0,0.52,1.03,3.62,0.52,11.89
10dpf,5.65,0,1.26,1.88,0,6.9
