stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,0,10.32
12hpf,5.78,0,0,1.93,0,0,0,0,0,0
14hpf,3.34,0,0,0,0,0,0,0,3.34,3.34
16hpf,8.2,0,0,2.05,2.05,2.05,0,0,2.05,2.05
19hpf,4.38,0,0,0,0,0,0,2.19,0,0
24hpf,7,0,0,0,3,0,1,1,4,1
2dpf,159.31,0.83,10.01,20.85,49.21,105.09,7.51,4.17,34.2,56.72
3dpf,370.07,3.45,5.75,10.34,12.07,125.85,5.17,0,7.47,15.52
5dpf,48.58,8.27,21.71,26.36,12.92,200.53,10.85,11.89,25.84,109.57
10dpf,158.14,11.92,18.83,16.94,8.79,156.88,5.02,0,15.69,20.08
