stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
12hpf,0,0,0,0,0,0,0,0,3.86,0
14hpf,0,0,0,0,0,0,0,0,3.34,0
16hpf,6.15,0,0,0,0,0,0,0,36.91,2.05
19hpf,0,0,0,0,0,0,0,0,10.95,17.51
24hpf,3,3,0,0,24,17,1,2,24,65
2dpf,42.54,0.83,0.83,28.36,70.06,123.44,3.34,0,51.71,150.97
3dpf,41.95,1.72,0.57,6.9,23.56,251.12,2.3,0,21.84,45.97
5dpf,17.06,0.52,2.07,13.95,18.61,228.96,5.69,1.03,58.92,142.13
10dpf,21.34,0.63,1.26,7.53,16.32,176.34,0,0,21.96,16.32
