stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,103.23
12hpf,0,0,0,0,0,0,0,0,5.78
14hpf,0,0,0,0,0,6.69,0,0,140.44
16hpf,4.1,0,2.05,2.05,0,14.36,0,0,8.2
19hpf,0,0,0,2.19,0,4.38,0,0,35.03
24hpf,2,0,1,0,1,20,0,0,9
2dpf,22.52,0.83,3.34,9.17,14.18,53.38,4.17,9.17,42.54
3dpf,300.54,5.17,4.02,0.57,2.87,40.23,2.87,1.15,22.99
5dpf,23.77,4.13,6.72,2.58,2.58,47.03,8.27,6.72,89.93
10dpf,126.76,7.53,3.14,1.88,1.26,20.71,1.88,3.77,30.75
