stage,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,periderm
24hpf,1,0,3,0,1
2dpf,0,0,1.67,0,0
3dpf,0,0,0.57,0.57,0
5dpf,0,1.03,0,0,0
