stage,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,0.83
3dpf,0,1.15,0,0
5dpf,0,3.1,0.52,0.52
10dpf,0.63,3.14,0,0
