stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,660.67,0,0,0,20.65,0,0,0,0
12hpf,472.3,0,0,0,44.34,3.86,0,7.71,3.86
14hpf,113.69,0,0,10.03,120.38,0,0,0,63.53
16hpf,6.15,0,0,6.15,127.15,0,0,0,71.78
19hpf,0,0,0,0,50.35,0,0,0,50.35
24hpf,6,0,0,13,54,2,2,2,8
2dpf,20.02,0,1.67,13.35,43.37,83.41,5,16.68,10.84
3dpf,38.5,0,1.15,1.15,9.77,152.86,1.15,9.77,8.05
5dpf,12.4,3.1,5.69,7.24,9.82,106.98,4.65,14.47,33.59
10dpf,7.53,2.51,4.39,1.26,5.02,70.91,3.77,12.55,5.65
