stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,103.23,0,0,0,30.97,10.32,0,0,123.88,41.29
12hpf,96.39,5.78,0,0,23.13,11.57,0,0,44.34,34.7
14hpf,441.39,0,0,6.69,13.38,6.69,0,0,110.35,66.88
16hpf,547.57,2.05,2.05,16.41,57.42,20.51,8.2,4.1,174.32,77.93
19hpf,1359.48,0,0,10.95,13.14,8.76,24.08,0,24.08,91.95
24hpf,723,0,3,43,112,33,33,3,133,67
2dpf,929.16,9.17,15.85,130.95,331.13,547.99,130.12,13.35,180.99,160.14
3dpf,1125.73,15.52,1.72,35.63,85.05,417.19,40.23,0,24.71,65.51
5dpf,355.06,37.21,15.5,114.74,56.85,381.42,81.14,6.72,48.58,317.85
10dpf,626.28,33.26,7.53,57.11,39.53,278.62,40.16,0.63,26.36,108.56
