stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,0,0,0,1.67,0.83,34.2,0,0
3dpf,1.15,0.57,2.3,1.72,0,0,0,0.57
5dpf,0.52,1.55,4.13,1.03,3.62,1.55,1.03,3.1
10dpf,3.14,1.26,28.87,1.26,2.51,0,0,0
