stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0,0.83,0,0,0,0,0
3dpf,0,2.87,0,0.57,0,0,0
5dpf,1.55,14.47,0.52,2.58,0.52,0.52,1.03
10dpf,2.51,50.2,0.63,0.63,0,0,0
