stage,central_nervous_system,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,2.5,0.83,0.83,0,0,0.83
3dpf,7.47,0,1.15,0,0,0
5dpf,0,0.52,0.52,0.52,0.52,0.52
10dpf,3.14,1.88,0.63,0,0,0
