stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
3dpf,2.3,5.75,0.57,1.72,0.57,0,0,0
5dpf,1.03,4.65,3.1,1.03,0.52,0.52,0.52,0.52
10dpf,3.14,5.65,0.63,0.63,0,0,0,0
