stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
2dpf,2.5,0,0,0,0,0
3dpf,10.34,0,0.57,2.3,0,0
5dpf,0.52,1.03,0,0.52,0.52,1.55
10dpf,3.77,3.77,0,2.51,0,2.51
