stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,periderm
2dpf,2.5,0,0.83,0
3dpf,20.11,0,0,0.57
5dpf,0,0.52,0.52,1.03
10dpf,3.77,0,0,0
