stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
3dpf,5.75,0,0,0,0.57,0
5dpf,3.1,0,0,0.52,2.58,0.52
10dpf,26.36,1.26,0.63,0,0,0
