stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,10.32,0
12hpf,1.93,0,0,1.93,0,0,0,5.78,0
14hpf,0,0,0,3.34,0,3.34,0,26.75,10.03
16hpf,0,0,0,2.05,0,0,0,30.76,6.15
19hpf,0,0,0,19.7,0,0,4.38,4.38,17.51
24hpf,1,0,0,18,3,1,6,21,5
2dpf,21.69,0,2.5,54.21,5,26.69,21.69,10.01,9.17
3dpf,198.83,2.3,1.15,26.43,5.75,62.06,8.05,8.62,4.02
5dpf,27.39,2.58,4.13,75.46,7.75,96.13,21.71,8.27,21.19
10dpf,215.87,3.77,3.14,56.48,5.02,84.09,33.89,9.41,3.77
