stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,350.98,30.97,10.32,0,144.52,10.32,0,20.65,123.88,196.14
12hpf,1127.73,61.69,25.06,38.56,404.83,82.89,1.93,102.17,410.61,514.71
14hpf,665.43,16.72,43.47,86.94,207.32,73.56,10.03,20.06,207.32,290.92
16hpf,494.25,49.22,18.46,36.91,147.66,82.03,14.36,36.91,192.78,244.05
19hpf,553.86,4.38,4.38,10.95,35.03,43.78,4.38,17.51,37.22,91.95
24hpf,344,4,31,26,60,45,15,4,60,59
2dpf,475.42,7.51,32.53,47.54,169.32,347.81,48.38,5,117.6,95.08
3dpf,1922.19,24.71,48.27,29.88,30.46,483.28,14.94,0.57,33.9,59.19
5dpf,119.9,10.85,28.43,41.86,13.95,220.17,18.61,13.95,36.18,119.39
10dpf,463.12,25.1,64.01,38.28,10.04,178.85,5.65,0.63,30.12,23.85
