stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.83,0,0.83,0.83,2.5,2.5,0
3dpf,1.15,0,0,0.57,1.72,0,0
5dpf,1.03,0,1.03,0,2.07,1.03,0.52
10dpf,0.63,0.63,0,0,1.26,0,0
